,Solution,Solution,LIMIT,Solution
0,15415.75,,8316.57,15415.75
1,14960.29415,,8316.57,14959.72473
2,14597.59152,,8316.57,14588.9137
3,14189.50699,,8316.57,14154.6691
4,13797.41528,,8316.57,13840.57217
5,13474.19949,,8316.57,13494.17642
6,13117.11979,,8316.57,13132.45895
7,12763.86676,,8316.57,12828.57656
8,12460.07732,,8316.57,12519.58484
9,12200.73369,,8316.57,12163.78893
10,11944.41007,,8316.57,11872.37668
11,11690.60032,,8316.57,11568.39294
12,11406.38122,,8316.57,11290.07039
13,11198.16623,,8316.57,11063.82086
14,11020.29385,,8316.57,10802.77244
15,10772.05072,,8316.57,10557.89817
16,10566.24239,,8316.57,10326.20249
17,10325.72016,,8316.57,10070.45061
18,10073.00996,,8316.57,9877.19849
19,9889.615721,,8316.57,9677.583049
20,9758.313039,,8316.57,9506.095003
