1,2,5,A,B,C
"[10, 29, 54]",0.724744871391589,13.929765033685095,10,29,54
"[7, 22, 52]",0.724744871391589,35.586133108720006,7,22,52
"[27, 29, 55]",0.724744871391589,24.22747620322923,27,29,55
"[7, 22, 63]",0.724744871391589,27.139478462665,7,22,63
"[7, 30, 52]",0.724744871391589,22.69614565674217,7,30,52
"[29, 51, 52]",0.724744871391589,23.05965724007228,29,51,52
"[9, 28, 53]",0.7247448713915889,30.47157204465063,9,28,53
"[9, 36, 53]",0.7247448713915889,22.113097317187567,9,36,53
"[9, 28, 63]",0.7247448713915889,36.8565420098357,9,28,63
"[7, 9, 30]",0.7247448713915889,27.267384375074386,7,9,30
"[9, 22, 63]",0.7247448713915889,25.54483688449779,9,22,63
"[9, 22, 52]",0.7247448713915889,31.41286515653502,9,22,52
"[22, 53, 54]",0.7247448713915889,10.308496467547787,22,53,54
"[29, 51, 55]",0.7247448713915889,31.73877337042061,29,51,55
"[4, 9, 28]",0.7247448713915889,34.557986720656054,4,9,28
"[0, 28, 55]",0.7247448713915889,36.46840619262165,0,28,55
"[22, 28, 53]",0.7247448713915889,20.908898851872024,22,28,53
"[7, 28, 30]",0.7247448713915889,23.165404742388787,7,28,30
"[0, 9, 55]",0.7247448713915889,26.314286307127208,0,9,55
"[9, 28, 52]",0.7247448713915889,33.45297825243497,9,28,52
"[9, 22, 53]",0.7247448713915889,19.08704187158264,9,22,53
"[22, 52, 53]",0.7247448713915889,18.439443530148715,22,52,53
"[0, 28, 53]",0.7247448713915889,30.217554062370624,0,28,53
"[9, 22, 28]",0.7247448713915889,30.395874919246374,9,22,28
"[0, 53, 55]",0.7247448713915889,19.35624469701087,0,53,55
"[9, 52, 53]",0.7247448713915889,22.570702746549163,9,52,53
"[22, 28, 52]",0.7247448713915889,31.103343779932977,22,28,52
"[4, 7, 28]",0.7247448713915889,27.226838415041502,4,7,28
"[30, 52, 53]",0.7247448713915889,12.867909856715569,30,52,53
"[9, 28, 30]",0.7247448713915889,32.178530672970616,9,28,30
"[22, 51, 52]",0.7247448713915889,22.089561777637325,22,51,52
"[22, 28, 63]",0.7247448713915889,27.35896359514172,22,28,63
"[7, 9, 28]",0.7247448713915889,31.589682119345564,7,9,28
"[19, 22, 63]",0.630901122629986,14.223873949211352,19,22,63
"[19, 22, 52]",0.630901122629986,25.002141511929768,19,22,52
"[11, 22, 52]",0.630901122629986,15.53958561743516,11,22,52
"[41, 52, 63]",0.630901122629986,24.72572158952013,41,52,63
"[11, 27, 51]",0.630901122629986,19.967963014788705,11,27,51
"[12, 27, 29]",0.630901122629986,17.118803008852492,12,27,29
"[1, 27, 51]",0.630901122629986,17.708518185829153,1,27,51
"[17, 22, 54]",0.630901122629986,14.860434005118847,17,22,54
"[5, 9, 53]",0.630901122629986,10.45638488880887,5,9,53
"[40, 51, 52]",0.630901122629986,16.766474130990193,40,51,52
"[11, 22, 54]",0.630901122629986,11.980469576791736,11,22,54
"[43, 51, 52]",0.630901122629986,12.03623260368457,43,51,52
"[14, 30, 52]",0.630901122629986,10.680944532496095,14,30,52
"[20, 52, 63]",0.630901122629986,17.33662015579221,20,52,63
"[5, 30, 53]",0.630901122629986,5.177183646666272,5,30,53
"[46, 51, 52]",0.6309011226299859,14.909810036696134,46,51,52
"[13, 29, 54]",0.6309011226299859,20.42337033878227,13,29,54
"[8, 30, 52]",0.6309011226299859,13.544439993466911,8,30,52
"[20, 29, 55]",0.6309011226299859,24.69987686668093,20,29,55
"[1, 9, 53]",0.6309011226299859,15.271865458217167,1,9,53
"[13, 22, 54]",0.6309011226299859,12.434587411384733,13,22,54
"[20, 29, 54]",0.6309011226299859,19.504201404899717,20,29,54
"[3, 22, 52]",0.6309011226299859,27.127546616623892,3,22,52
"[6, 10, 27]",0.6309011226299859,12.565733035321365,6,10,27
"[43, 52, 63]",0.6309011226299859,15.29312399427998,43,52,63
"[21, 29, 55]",0.6309011226299859,23.741701638293513,21,29,55
"[40, 52, 63]",0.6309011226299859,16.245534704792234,40,52,63
"[20, 29, 51]",0.6309011226299859,22.542251802890235,20,29,51
"[3, 51, 52]",0.6309011226299859,16.5954430410254,3,51,52
"[1, 9, 36]",0.6309011226299859,21.586204021942724,1,9,36
"[13, 29, 55]",0.6309011226299859,26.504923601877927,13,29,55
"[25, 29, 55]",0.6309011226299859,17.897887118941266,25,29,55
"[37, 51, 52]",0.6309011226299859,15.536825692977905,37,51,52
"[19, 29, 54]",0.6309011226299859,19.522067432327663,19,29,54
"[3, 22, 63]",0.6309011226299859,15.323631205205377,3,22,63
"[22, 35, 54]",0.6309011226299858,14.482697600763302,22,35,54
